"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"High Beginner",140,40,"High Beginner",70,"High Beginner",30,"High Beginner",11.53
"Intermediate",545,145,"Low Intermediate",320,"Intermediate",80,"Low Intermediate",34.32
"High Beginner",90,0,"Beginner",90,"High Beginner",0,"Beginner",12.58
"High Beginner",90,40,"High Beginner",30,"High Beginner",20,"High Beginner",12.2
"Beginner",30,0,"Beginner",10,"Beginner",20,"High Beginner",5.03
"Low Intermediate",475,95,"Low Intermediate",170,"Low Intermediate",210,"High Intermediate",35.02
"High Beginner",110,0,"Beginner",80,"High Beginner",30,"High Beginner",9.1
"High Beginner",150,10,"Beginner",105,"Low Intermediate",35,"High Beginner",37.35
"High Beginner",195,90,"Low Intermediate",65,"High Beginner",40,"High Beginner",18.05
"Beginner",20,0,"Beginner",0,"Beginner",20,"High Beginner",5.05
"Beginner",40,10,"Beginner",20,"Beginner",10,"Beginner",32.47
"Low Intermediate",340,140,"Low Intermediate",130,"Low Intermediate",70,"Low Intermediate",18
"Intermediate",670,210,"Intermediate",260,"Intermediate",200,"Intermediate",22.55
"Low Intermediate",490,185,"Intermediate",185,"Low Intermediate",120,"Intermediate",72.25
"Intermediate",515,240,"Intermediate",165,"Low Intermediate",110,"Low Intermediate",54.88
"Low Intermediate",330,125,"Low Intermediate",145,"Low Intermediate",60,"Low Intermediate",10.37
"High Beginner",160,55,"High Beginner",45,"High Beginner",60,"Low Intermediate",24.27
"Low Intermediate",310,95,"Low Intermediate",165,"Low Intermediate",50,"High Beginner",15.17
"Low Intermediate",245,100,"Low Intermediate",70,"High Beginner",75,"Low Intermediate",33.87
"Beginner",50,20,"High Beginner",30,"High Beginner",0,"Beginner",3.33
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",4.63
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",2.15
"Low Intermediate",275,120,"Low Intermediate",90,"High Beginner",65,"Low Intermediate",16.52
"High Beginner",60,20,"High Beginner",30,"High Beginner",10,"Beginner",5.33
"High Beginner",105,0,"Beginner",55,"High Beginner",50,"High Beginner",25.4
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.72
"Low Intermediate",415,210,"Intermediate",145,"Low Intermediate",60,"Low Intermediate",62.93
"Low Intermediate",355,50,"High Beginner",210,"Low Intermediate",95,"Low Intermediate",56.83
"High Beginner",80,10,"Beginner",50,"High Beginner",20,"High Beginner",15.33
"High Beginner",110,20,"High Beginner",50,"High Beginner",40,"High Beginner",6.85
"Intermediate",700,270,"Intermediate",325,"Intermediate",105,"Low Intermediate",41.32
"Intermediate",625,200,"Intermediate",305,"Intermediate",120,"Intermediate",83.15
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.08
"Low Intermediate",400,105,"Low Intermediate",165,"Low Intermediate",130,"Intermediate",35.57
"Low Intermediate",485,205,"Intermediate",175,"Low Intermediate",105,"Low Intermediate",41.7
"High Beginner",80,40,"High Beginner",20,"Beginner",20,"High Beginner",12.2
"Low Intermediate",225,65,"High Beginner",95,"Low Intermediate",65,"Low Intermediate",20.38
"Low Intermediate",370,110,"Low Intermediate",170,"Low Intermediate",90,"Low Intermediate",40.82
"Intermediate",560,195,"Intermediate",195,"Low Intermediate",170,"Intermediate",35.9
"Intermediate",510,270,"Intermediate",170,"Low Intermediate",70,"Low Intermediate",27.77
"Intermediate",635,255,"Intermediate",185,"Low Intermediate",195,"Intermediate",43.7
"Intermediate",620,275,"Intermediate",170,"Low Intermediate",175,"Intermediate",43.62
"Beginner",30,0,"Beginner",10,"Beginner",20,"High Beginner",9.87
"High Beginner",140,40,"High Beginner",50,"High Beginner",50,"High Beginner",10.68
"Beginner",20,10,"Beginner",10,"Beginner",0,"Beginner",9.2
"Low Intermediate",260,75,"Low Intermediate",75,"High Beginner",110,"Low Intermediate",37.37
"Low Intermediate",315,120,"Low Intermediate",120,"Low Intermediate",75,"Low Intermediate",40.03
"High Beginner",100,20,"High Beginner",50,"High Beginner",30,"High Beginner",7.7
"Beginner",50,10,"Beginner",20,"Beginner",20,"High Beginner",11.87
"Beginner",10,0,"Beginner",0,"Beginner",10,"Beginner",4.18
"Low Intermediate",320,95,"Low Intermediate",170,"Low Intermediate",55,"Low Intermediate",24.72
"High Beginner",60,10,"Beginner",20,"Beginner",30,"High Beginner",9
"Beginner",20,10,"Beginner",0,"Beginner",10,"Beginner",6.88
"Low Intermediate",315,140,"Low Intermediate",135,"Low Intermediate",40,"High Beginner",34.02
"Low Intermediate",315,60,"High Beginner",170,"Low Intermediate",85,"Low Intermediate",37.88
"Beginner",20,20,"High Beginner",0,"Beginner",0,"Beginner",4.18
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",4.58
"Intermediate",555,245,"Intermediate",135,"Low Intermediate",175,"Intermediate",37.32
"Intermediate",685,230,"Intermediate",285,"Intermediate",170,"Intermediate",37.37
"Intermediate",595,290,"Intermediate",145,"Low Intermediate",160,"Intermediate",32.82
"Intermediate",765,290,"Intermediate",280,"Intermediate",195,"Intermediate",44.5
"Intermediate",605,255,"Intermediate",235,"Intermediate",115,"Low Intermediate",46.68
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",8.7
"High Intermediate",910,395,"High Intermediate",185,"Low Intermediate",330,"Low Advanced",74.43
"Intermediate",620,230,"Intermediate",245,"Intermediate",145,"Intermediate",34.27
"Intermediate",680,195,"Intermediate",370,"Intermediate",115,"Low Intermediate",47.45
"High Beginner",160,130,"Low Intermediate",0,"Beginner",30,"High Beginner",31.25
"High Beginner",170,20,"High Beginner",110,"Low Intermediate",40,"High Beginner",29.9
"Low Intermediate",230,55,"High Beginner",100,"Low Intermediate",75,"Low Intermediate",19.47
"High Beginner",155,10,"Beginner",85,"High Beginner",60,"Low Intermediate",11.68
"Low Intermediate",325,125,"Low Intermediate",145,"Low Intermediate",55,"Low Intermediate",8.87
"High Beginner",100,10,"Beginner",80,"High Beginner",10,"Beginner",9.18
"High Intermediate",925,385,"High Intermediate",385,"High Intermediate",155,"Intermediate",44.05
"Intermediate",655,290,"Intermediate",240,"Intermediate",125,"Intermediate",52.87
"Intermediate",860,235,"Intermediate",395,"High Intermediate",230,"High Intermediate",49.92
"Intermediate",720,170,"Intermediate",370,"Intermediate",180,"Intermediate",56.98
"Low Intermediate",405,125,"Low Intermediate",150,"Low Intermediate",130,"Intermediate",39.7
"Intermediate",500,190,"Intermediate",245,"Intermediate",65,"Low Intermediate",47.08
"Intermediate",510,180,"Intermediate",175,"Low Intermediate",155,"Intermediate",49.23
"Intermediate",520,220,"Intermediate",185,"Low Intermediate",115,"Low Intermediate",52.75
"High Beginner",130,50,"High Beginner",40,"High Beginner",40,"High Beginner",12.75
"Beginner",30,10,"Beginner",20,"Beginner",0,"Beginner",2.37
"Intermediate",545,180,"Intermediate",180,"Low Intermediate",185,"Intermediate",53.22
"High Beginner",150,40,"High Beginner",70,"High Beginner",40,"High Beginner",13.17
"Low Intermediate",285,95,"Low Intermediate",160,"Low Intermediate",30,"High Beginner",28.25
"Low Intermediate",335,80,"Low Intermediate",140,"Low Intermediate",115,"Low Intermediate",31.52
"High Beginner",70,10,"Beginner",50,"High Beginner",10,"Beginner",6.1
"Intermediate",700,270,"Intermediate",305,"Intermediate",125,"Intermediate",121.3
"Intermediate",600,280,"Intermediate",275,"Intermediate",45,"High Beginner",92.83
"Intermediate",575,140,"Low Intermediate",340,"Intermediate",95,"Low Intermediate",72.2
"Low Intermediate",315,95,"Low Intermediate",130,"Low Intermediate",90,"Low Intermediate",37.95
"High Beginner",80,40,"High Beginner",40,"High Beginner",0,"Beginner",7.6
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",11.75
"Beginner",10,10,"Beginner",0,"Beginner",0,"Beginner",15.4
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",12.1
"High Beginner",80,40,"High Beginner",30,"High Beginner",10,"Beginner",10.87
"High Beginner",90,40,"High Beginner",30,"High Beginner",20,"High Beginner",9.63
"Beginner",10,0,"Beginner",10,"Beginner",0,"Beginner",5.53
"Low Intermediate",360,100,"Low Intermediate",145,"Low Intermediate",115,"Low Intermediate",44.9
"Low Intermediate",285,65,"High Beginner",125,"Low Intermediate",95,"Low Intermediate",46.9
"Intermediate",580,150,"Low Intermediate",310,"Intermediate",120,"Intermediate",47.63
"Low Intermediate",460,175,"Intermediate",185,"Low Intermediate",100,"Low Intermediate",44.13
"Low Intermediate",395,155,"Low Intermediate",145,"Low Intermediate",95,"Low Intermediate",40.47
"High Beginner",130,10,"Beginner",60,"High Beginner",60,"Low Intermediate",16.88
"High Beginner",150,75,"Low Intermediate",45,"High Beginner",30,"High Beginner",33.1
"High Beginner",195,30,"High Beginner",120,"Low Intermediate",45,"High Beginner",41.35
"Low Intermediate",320,80,"Low Intermediate",190,"Low Intermediate",50,"High Beginner",39.42
"High Beginner",75,0,"Beginner",75,"High Beginner",0,"Beginner",17.78
